Title,Author,Year,Country,Region,Continent,Read,OriginalLanguage,Pages,Description,Tags,Category
Country of My Skull,Antjie Krog,1998,South Africa,Southern Africa,Africa,,English,420,A book from South Africa.,,Nonfiction
The Return,Hisham Matar,2016,Libya,Northern Africa,Africa,,English,250,A book from Libya.,,Nonfiction
In My Father's Court,Isaac Bashevis Singer,1966,Poland,Eastern Europe,Europe,,Yiddish,307,A book from Poland/USA.,,Nonfiction
The Sabbath,Abraham Joshua Heschel,1951,USA,Northern America,North America,,English,100,A book from Poland/USA.,,Nonfiction
Chernobyl Prayer,Svetlana Alexievich,1997,Belarus,Eastern Europe,Europe,,Russian,304,"'Desperately important and impossible to put down. It is timeless. . . what shines clear from the testimonies is love - love which can make you do the most spectacular things ' Sheena Patel, Observer

'- A new translation of Voices from Chernobyl based on the revised version -

In April 1986 a series of explosions shook the Chernobyl nuclear reactor. Flames lit up the sky and radiation escaped to contaminate the land and poison the people for years to come. While officials tried to hush up the accident, Svetlana Alexievich spent years collecting testimonies from survivors - clean-up workers, residents, firefighters, resettlers, widows, orphans - crafting their voices into a haunting oral history of fear, anger and uncertainty, but also dark humour and love.

A chronicle of the past and a warning for our nuclear future, Chernobyl Prayer shows what it is like to bear witness, and remember in a world that wants you to forget.

'Beautifully written. . . heart-breaking' - Arundhati Roy, Elle

'One of the most humane and terrifying books I've ever read' - Helen Simpson, Observer",,Nonfiction
Before Night Falls,Reinaldo Arenas,1992,Cuba,Caribbean,North America,,Spanish,320,A book from Cuba.,,Nonfiction
The Book of Embraces,Eduardo Galeano,1989,Uruguay,South America,South America,,Spanish,270,A book from Uruguay.,,Nonfiction
A Fish in the Water,Mario Vargas Llosa,1993,Peru,South America,South America,,Spanish,530,A book from Peru.,,Nonfiction
Story of the Eye,Georges Bataille,1928,France,Western Europe,Europe,,French,128,"Bataille’s first novel, published under the pseudonym ‘Lord Auch’, is still his most notorious work. In this explicit pornographic fantasy, the young male narrator and his lovers Simone and Marcelle embark on a sexual quest involving sadism, torture, orgies, madness and defilement, culminating in a final act of transgression. Shocking and sacreligious, Story of the Eye is the fullest expression of Bataille’s obsession with the closeness of sex, violence and death. Yet it is also hallucinogenic in its power, and is one of the erotic classics of the twentieth century.",,Novella
The Mahé Circle,Georges Simenon,1946,Belgium,Western Europe,Europe,1,French,119,"'In Porquerolles, things were hostile to him. He had tried in vain to tame them. Back there, all the time, he had felt as if there was a tremendous chaos around him, a kind of life that was too vivid, so that the slightest contact with it made his blood pulse more quickly, and prompted a rising fever inside him.'

Nobody could understand why Dr. Mahé continued to drag his family to Porquerolles for the summer. Had he really become obsessed with the girl dressed in red? Or was it a longing to go fishing and play boules with the locals? Or maybe there was something even more powerful that drew him back to the island.",,Novella
The Man Who Watched Trains Go By,Georges Simenon,1938,Belgium,Western Europe,Europe,,French,251,"Kees Popinga is an average man, a solid citizen who might enjoy a game of chess in the evening. But one night, this model husband and devoted father discovers his boss is bankrupt and that his own carefully tended life is in ruins. Before, he had watched impassively as the trains swept by; now he catches the first one out of town, and soon commits murder before the night is out. How reliable is even the most reliable man's identity?",,Novel
Thérèse and Isabelle,Violette Leduc,1967,France,Western Europe,Europe,,French,245,"Thérèse and Isabelle is the tale of two boarding school girls in love. In 1966 when it was originally published in France, the text was censored because of its explicit depiction of young homosexuality. With this publication, the original, unexpurgated text—a stunning literary portrayal of female desire and sexuality—is available to a US audience for the first time. Included is an afterword by Michael Lucey, professor of French and comparative literature at the University of California, Berkeley.

Violette Leduc (1907–1972) has been referred to as ""France's greatest unknown writer."" Admired by Jean Genet, Nathalie Sarraute, and Albert Camus, Leduc was championed by Simone de Beauvoir when she published her scandalous autobiography La Batarde (1964).",,Novel
The Golden Pot,E.T.A. Hoffmann,1814,Germany,Western Europe,Europe,,German,128,,,Novella
Daphnis and Chloe,Longus,150,Ancient Greece,Southern Europe,Europe,,und,128,"A tender novel describing eager and inept young love, Daphnis and Chloe tells the story of a baby boy and girl who are discovered separately, two years apart, alone and exposed on a Greek mountainside. Taken in by a goatherd and a shepherd respectively, and raised near the town of Mytilene, they grow to maturity unaware of one another's existence - until the mischievous god of love, Eros, creates in them a sudden overpowering desire for one another. A masterpiece among early Greek romances, attracting both high praise and moral disapproval, this work has proved an enduringly fertile source of inspiration for musicians, writers and artists from Henry Fielding to Jean-Baptiste-Camille Corot and Maurice Ravel. Longus transforms familiar themes from the romance genre - including pirates, dreams, and the supernatural - into a virtuoso love story that is rich in insight, humorous and ironical in its treatment of human sexual experience.",,Novella
White Nights,Fyodor Dostoevsky,1848,Russia,Eastern Europe,Europe,1,Russian,113,"White Nights is a short story by Fyodor Dostoevsky that was published in 1848. Set in St. Petersburg, it is the story of a young man fighting his inner restlessness. A light and tender narrative, it delves into the torment and guilt of unrequited love. Both protagonists suffer from a deep sense of alienation that initially brings them together. A blend of romanticism and realism, the story appeals gently to the senses and feelings.",,Novella
The Double,Fyodor Dostoevsky,1957,Russia,Eastern Europe,Europe,1,Russian,144,"A lonely government clerk - shy, awkward, blundering - finds himself pursued by a mysterious stranger. Somehow he looks familiar. In fact, he realizes, he looks exactly like him. He even has the same name. But, unlike him, he is charming and confident. Soon the stranger starts insinuating himself into his life. He works at his office, stays at his apartment, ingratiates himself with his colleagues. No one seems surprised. Who is he? What does he want? Is he a double, or something darker altogether?

Moscow-born Fyodor Dostoyevsky (1821-1881) served time in a convict prison in Siberia for his political alliances, and in his later years his passion for gambling led him deeply into debt. His many brilliant novels include Crime and Punishment, The Idiot and The Brothers Karamazov.",,Novella
The Beast in the Jungle,Henry James,1903,USA,Northern America,North America,,English,112,"The Beast in the Jungle was first published in London by Henry James in 1903 by Methuen Publishing in the collection ""The Better Sort"".
It is the story of John Marcher, a man who, for as long as he can remember, has been obsessed by the feeling that some life-changing - even catastrophic - event lies in wait for him like a jungle animal. Then the tragic day arrives on which the terrible true nature of the beast is revealed.",,Novella
Typhoon,Joseph Conrad,1902,UK,Northern Europe,Europe,,English,116,"The crew aboard a ramshackle steamer faces a treacherous storm in this gripping tale, inspired by Conrad's own time at sea.

One of 46 new books in the bestselling Little Black Classics series, to celebrate the first ever Penguin Classic in 1946. Each book gives readers a taste of the Classics' huge range and diversity, with works from around the world and across the centuries - including fables, decadence, heartbreak, tall tales, satire, ghosts, battles and elephants.",,Novella
The Virgin and the Gipsy,D.H. Lawrence,1930,UK,Northern Europe,Europe,,English,146,"An electrifying short novel published posthumously set in a small village in the English countryside and tells the story of a sheltered rector's daughter whose life is changed when she is introduced to a world of unfettered passion.  

The Virgin and the Gipsy was discovered in France after D. H. Lawrence's death in 1930. Immediately recognized as a masterpiece in which Lawrence had distilled and purified his ideas about sexuality and morality, The Virgin and the Gipsy has become a classic and is one of Lawrence's most electrifying short novels.

Set in a small village in the English countryside, this is the story of a secluded, sensitive rector's daughter who yearns for meaning beyond the life to which she seems doomed. When she meets a handsome young gipsy whose life appears different from hers in every way, she is immediately smitten and yet still paralyzed by her own fear and social convention. Not until a natural catastrophe suddenly, miraculously sweeps away the world as she knew it does a new world of passion open for her. Lawrence's spirit is infused by all his tenderness, passion, and knowledge of the human soul.",,Novella
St. Mawr,D.H. Lawrence,1925,UK,Northern Europe,Europe,,English,130,"St Mawr is a novella written by D. H. Lawrence. It was first published in 1925. The heroine of the story, Lou Witt, abandons her sterile marriage and a brittle, cynical post-First World War England. Her sense of alienation is associated with her encounter with a high-spirited stallion, the eponymous St Mawr.",,Novella
The Man Who Died,D.H. Lawrence,1928,UK,Northern Europe,Europe,,English,102,"In his last novel, published less than a year before his death, D. H. Lawrence takes up the theme of Christ's resurrection and his final days on earth. Lawrence recounts Christ's agonizing journey from death back to life with alarming realism: his initial painful awakening, the utter disillusionment of living beyond his brutal death, his bewildering encounters with strangers and friends, and finally, his redemptive sexual relationship with the priestess of the pagan goddess Isis.

The story expands from its Christian roots to embrace Lawrence's abiding faith in the life-force apparent in every aspect of the natural world. The combination of a pure idealism with a pure physicality enriches these characters both as human beings and as symbols of beliefs too often held in opposition. The language of this book is indulgent for Lawrence - it contains the sharp focus and lyrical intensity of poetry without losing the subtlety of detail that characterizes his prose.

For his final work, it seems that Lawrence has encapsulated a lifetime of extraordinary vision into one profound and exquisite parable.",,Novella
The Nonexistent Knight,Italo Calvino,1959,Italy,Southern Europe,Europe,1,Italian,144,"An empty suit of armor is the hero in this witty novella, a picaresque gem—now available in an independent volume for the first time—that brilliantly parodies medieval knighthood.

Set in the time of Charlemagne and narrated by a nun with her own secrets to keep, The Nonexistent Knight tells the story of Agilulf, a gleaming white suit of armor with nothing inside it. A challenge to his honor sends Agilulf on a search through France, England, and North Africa to confirm the chastity of a virgin he saved from rape years earlier. In the end, after many surprising turns of plot, a closing confession draws this sparkling novella to a perfect finish.",,Novella
The Cloven Viscount,Italo Calvino,1962,Italy,Southern Europe,Europe,1,Italian,106,"The Cloven Viscount (Italian: Il visconte dimezzato) is a fantasy novella written by Italo Calvino. It was first published by Einaudi (Turin) in 1952 and in English in 1962 by William Collins, with a translation by Archibald Colquhoun.",,Novella
The Lake of the Bees,Theodor Storm,1891,Germany,Western Europe,Europe,,German,120,"Described by the author himself as a “pearl of German poetry,” The Lake of the Bees is one of his earliest novellas. In it, he explores the bittersweet sorrow of memory. An old man looks back on his life and remembers Elizabeth—the only woman he ever loved. The two of them had shared their childhood, shared their summer holidays and family picnics. Yet somehow all had been lost—the joy, excitement, and hope slowly replaced by the melancholy, resignation, and inertia that comes from broken dreams. Now, at the end of his life, he is left only with the knowledge of what might have been. Theodor Storm is a leading figure of German Poetic Realism; his novellas are some of the finest in German literature.",,Novella
Notes of a Desolate Man,Chu T'ien-wen,1999,Taiwan,Eastern Asia,Asia,,English,184,,,Novel
Sanatorium Under the Sign of the Hourglass,Bruno Schulz,1937,Poland,Eastern Europe,Europe,,German,200,A book from Poland.,,Stories
The Old Woman and the River,Ismail Fahd Ismail,2015,Kuwait,Western Asia,Asia,,Arabic,161,"After the ceasefire in 1988, the devastation to the landscape of Iraq wrought by the longest war of the twentieth century—the Iran-Iraq War��becomes visible. Eight years of fighting have turned nature upside down, with vast wastelands being left behind. In southeastern Iraq, along the shores of the Shatt al-Arab River, the groves of date palm trees have withered. No longer bearing fruit, their leaves have turned a bright yellow. There, Iraqi forces had blocked the entry points of the river’s tributaries and streams, preventing water from flowing to the trees and vegetation. Yet, surveying this destruction from the sky, a strip of land bursting with green can be seen. Beginning from the Shatt al-Arab River and reaching to the fringes of the western desert, several kilometers wide, it appears as a lush oasis of some kind. The secret of this fertility, sustaining villages and remaining soldiers, is unclear. But it is said that one old woman is responsible for this lifeline.",,Novel
The Gambler,Fyodor Dostoevsky,1867,Russia,Eastern Europe,Europe,,Russian,188,"In this dark and compelling short novel, Dostoevsky tells the story of Alexey Ivanovitch, a young tutor working in the household of an imperious Russian general. Alexey tries to break through the wall of the established order in Russia, but instead becomes mired in the endless downward spiral of betting and loss. His intense and inescapable addiction is accentuated by his affair with the General’s cruel yet seductively adept niece, Polina. In The Gambler, Dostoevsky reaches the heights of drama with this stunning psychological portrait.",,Novel
Poor Folk,Fyodor Dostoevsky,1846,Russia,Eastern Europe,Europe,,Russian,144,A book from Russia.,,Novella
The Double Death of Quincas Water-Bray,Jorge Amado,1961,Brazil,South America,South America,,Portuguese,96,A book from Brazil.,,Novella
The Mandarin,Eca de Queiros,1880,Portugal,Southern Europe,Europe,,Portuguese,96,A book from Portugal.,,Novella
The Return of the Soldier,Rebecca West,1918,UK,Northern Europe,Europe,,English,90,"Writing her first novel during World War I, West examines the relationship between three women and a soldier suffering from shell-shock. This novel of an enclosed world invaded by public events also embodies in its characters the shifts in England's class structures at the beginning of the twentieth century.",,Novella
The Bay of Noon,Shirley Hazzard,1970,Australia,Australia and New Zealand,Oceania,,English,144,A book from Australia.,,Novella
The Passport,Herta Muller,1986,Romania,Eastern Europe,Europe,,German,100,A book from Romania.,,Novella
The Peach Thief,Emiliyan Stanev,1948,Bulgaria,Eastern Europe,Europe,,Bulgarian,96,A book from Bulgaria.,,Novella
Victoria,Knut Hamsun,1898,Norway,Northern Europe,Europe,,Norwegian,144,A book from Norway.,,Novella
The Death of a Beekeeper,Lars Gustafsson,1978,Sweden,Northern Europe,Europe,,Swedish,151,A book from Sweden.,,Novel
The Siege,Ismail Kadare,1970,Albania,Southern Europe,Europe,,Albanian,144,A book from Albania.,,Novella
The Eye,Vladimir Nabokov,1930,Russia,Eastern Europe,Europe,1,Russian,104,A book from Russia.,,Novella
The Enchanter,Vladimir Nabokov,1939,Russia,Eastern Europe,Europe,,Russian,96,A book from Russia.,,Novella
Kapitan Lee,Yi Mun-yol,1982,Korea,Eastern Asia,Asia,,Korean,112,A book from Korea.,,Novella
The Old Man Who Read Love Stories,Luis Sepulveda,1989,Chile,South America,South America,,Spanish,128,A book from Chile.,,Novella
Monsieur Pain,Roberto Bolano,1999,Chile,South America,South America,,Spanish,144,A book from Chile.,,Novella
The Cossacks,Leo Tolstoy,1863,Russia,Eastern Europe,Europe,,Russian,144,A book from Russia.,,Novella
The Duel,Joseph Conrad,1908,UK,Northern Europe,Europe,,English,112,A book from England.,,Novella
The Girl with the Golden Eyes,Honore de Balzac,1835,France,Western Europe,Europe,,French,112,A book from France.,,Novella
Monsieur Linh and His Child,Philippe Claudel,2005,France,Western Europe,Europe,,French,130,A book from France.,,Novella
The Chess Master,Ah Cheng,1984,China,Eastern Asia,Asia,,Mandarin,112,A book from China.,,Novella
The Blue Fox,Sjon,2003,Iceland,Northern Europe,Europe,1,Icelandic,128,A book from Iceland.,,Novella
The Pit,Juan Carlos Onetti,1939,Uruguay,South America,South America,,Spanish,96,A book from Uruguay.,,Novella
The Taiga Syndrome,Cristina Rivera Garza,2012,Mexico,Central America,North America,,Spanish,128,A book from Mexico.,,Novella
The Emancipated,Miguel Riofrio,1863,Ecuador,South America,South America,,Spanish,96,A book from Ecuador.,,Novella
Natural Novel,Georgi Gospodinov,1999,Bulgaria,Eastern Europe,Europe,,Bulgarian,135,A book from Bulgaria.,,Novella
Closely Watched Trains,Bohumil Hrabal,1965,Czechia,Eastern Europe,Europe,,Czech,96,A book from Czechia.,,Novella
The Following Story,Cees Nooteboom,1991,Netherlands,Western Europe,Europe,,Dutch,96,A book from Netherlands.,,Novella
Love,Hanne Orstavik,1997,Norway,Northern Europe,Europe,,Norwegian,128,A book from Norway.,,Novella
The Blue Room,Hanne Orstavik,1999,Norway,Northern Europe,Europe,,Norwegian,96,A book from Norway.,,Novella
The Snake,Stig Dagerman,1945,Sweden,Northern Europe,Europe,,Swedish,128,A book from Sweden.,,Novella
Island of the Doomed,Stig Dagerman,1946,Sweden,Northern Europe,Europe,,Swedish,144,A book from Sweden.,,Novella
Khirbet Khizeh,S. Yizhar,1949,Israel,Western Asia,Asia,,Hebrew,112,A book from Israel.,,Novella
Record of a Journey to Mujin,Kim Seung-ok,1964,Korea,Eastern Asia,Asia,,Korean,96,A book from Korea.,,Novella
The Leg,Willem Elsschot,1938,Belgium,Western Europe,Europe,,Dutch,104,A book from Belgium.,,Novella
A Cup of Rage,Raduan Nassar,1978,Brazil,South America,South America,,Portuguese,88,A book from Brazil.,,Novella
Alves & Co.,Eca de Queiros,1925,Portugal,Southern Europe,Europe,,Portuguese,112,A book from Portugal.,,Novella
Down the Rabbit Hole,Juan Pablo Villalobos,2010,Mexico,Central America,North America,,Spanish,96,A book from Mexico.,,Novella
The Besieged City,Clarice Lispector,1949,Brazil,South America,South America,,Portuguese,143,A book from Brazil.,,Novella
The Vampire of Curitiba,Dalton Trevisan,1965,Brazil,South America,South America,,Portuguese,144,A book from Brazil.,,Stories
The Cubs,Mario Vargas Llosa,1967,Peru,South America,South America,,Spanish,96,A book from Peru.,,Novella
The Chase,Alejo Carpentier,1956,Cuba,Caribbean,North America,,Spanish,128,A book from Cuba.,,Novella
Revulsion,Horacio Castellanos Moya,1997,El Salvador,Central America,Central America,,Spanish,128,A book from El Salvador.,,Novella
The Collar and the Bracelet,Yahya Taher Abdullah,1975,Egypt,Northern Africa,Africa,,Arabic,112,A book from Egypt.,,Novella
Voices,Suleiman Fayyad,1972,Egypt,Northern Africa,Africa,,Arabic,96,A book from Egypt.,,Novella
The School Principal,Jalal Al-e Ahmad,1958,Iran,Southern Asia,Asia,,Persian,144,A book from Iran.,,Novella
Agostino,Alberto Moravia,1944,Italy,Southern Europe,Europe,,Italian,112,A book from Italy.,,Novella
The Dry Heart,Natalia Ginzburg,1947,Italy,Southern Europe,Europe,,Italian,108,A book from Italy.,,Novella
The Road to the City,Natalia Ginzburg,1942,Italy,Southern Europe,Europe,,Italian,96,A book from Italy.,,Novella
The Beach,Cesare Pavese,1941,Italy,Southern Europe,Europe,,Italian,128,A book from Italy.,,Novella
Equal Danger,Leonardo Sciascia,1971,Italy,Southern Europe,Europe,,Italian,128,A book from Italy.,,Novella
Candido,Leonardo Sciascia,1977,Italy,Southern Europe,Europe,,Italian,128,A book from Italy.,,Novella
The Return,Walter de la Mare,1910,UK,Northern Europe,Europe,,English,144,A book from England.,,Novella
Hadrian the Seventh,Frederick Rolfe,1904,UK,Northern Europe,Europe,,English,144,A book from England.,,Novella
The Lady in the Van,Alan Bennett,1989,UK,Northern Europe,Europe,,English,128,A book from England.,,Novella
The Uncommon Reader,Alan Bennett,2007,UK,Northern Europe,Europe,,English,128,A book from England.,,Novella
Carmen,Prosper Merimee,1845,France,Western Europe,Europe,,French,96,A book from France.,,Novella
The Last Day of a Condemned Man,Victor Hugo,1829,France,Western Europe,Europe,,French,128,A book from France.,,Novella
The Left-Handed Woman,Peter Handke,1976,Austria,Western Europe,Europe,1,German,88,A book from Austria.,,Novella
No Place on Earth,Christa Wolf,1979,Germany,Western Europe,Europe,,German,144,A book from Germany.,,Novella
Gigi,Colette,1944,France,Western Europe,Europe,,French,100,A book from France.,,Novella
The Lifted Veil,George Eliot,1859,UK,Northern Europe,Europe,,English,96,A book from England.,,Novella
Carmilla,Sheridan Le Fanu,1872,Ireland,Northern Europe,Europe,,English,108,A book from Ireland.,,Novella
The Country of the Pointed Firs,Sarah Orne Jewett,1896,USA,Northern America,North America,,English,128,A book from USA.,,Stories
Passing,Nella Larsen,1929,USA,Northern America,North America,,English,122,A book from USA.,,Novella
The Postman Always Rings Twice,James M. Cain,1934,USA,Northern America,North America,,English,128,A book from USA.,,Novella
Mrs Caliban,Rachel Ingalls,1982,USA,Northern America,North America,,English,128,A book from USA.,,Novella
The Mezzanine,Nicholson Baker,1988,USA,Northern America,North America,,English,144,A book from USA.,,Novella
Train Dreams,Denis Johnson,2002,USA,Northern America,North America,,English,116,A book from USA.,,Novella
Foster,Claire Keegan,2010,Ireland,Northern Europe,Europe,,English,96,A book from Ireland.,,Novella
Small Things Like These,Claire Keegan,2021,Ireland,Northern Europe,Europe,,English,128,A book from Ireland.,,Novella
The Walk,Robert Walser,1917,Switzerland,Western Europe,Europe,,German,88,"A pseudo-biographical ""stroll"" through town and countryside rife with philosophic musings, The Walk has been hailed as the masterpiece of Walser's short prose. Walking features heavily in his writing, but nowhere else is it as elegantly considered. Without walking, ""I would be dead,"" Walser explains, ""and my profession, which I love passionately, would be destroyed. Because it is on walks that the lore of nature and the lore of the country are revealed, charming and graceful, to the sense and eyes of the observant walker."" The Walk was the first piece of Walser's work to appear in English, and the only one translated before his death. However, Walser heavily revised his most famous novella, altering nearly every sentence, rendering the baroque tone of his tale into something more spare.",,Novella
The Enchanted Wanderer,Nikolai Leskov,1873,Russia,Eastern Europe,Europe,,Russian,144,A book from Russia.,,Novella
Villon’s Wife,Osamu Dazai,1947,Japan,Eastern Asia,Asia,,Japanese,93,A book from Japan.,,Stories
The Reed Cutter,Junichiro Tanizaki,1932,Japan,Eastern Asia,Asia,,Japanese,96,A book from Japan.,,Novella
Teach Us to Outgrow Our Madness,Kenzaburo Oe,1969,Japan,Eastern Asia,Asia,,Japanese,80,A book from Japan.,,Stories
The Emissary,Yoko Tawada,2014,Japan,Eastern Asia,Asia,,Japanese,128,A book from Japan.,,Novella
The Golden Cangue,Eileen Chang,1943,China,Eastern Asia,Asia,,Mandarin,104,A book from China.,,Novella
The Fugitive,Pramoedya Ananta Toer,1950,Indonesia,South-Eastern Asia,Asia,,Indonesian,140,A book from Indonesia.,,Novella
Earth and Ashes,Atiq Rahimi,2000,Afghanistan,Southern Asia,Asia,,Dari,81,A book from Afghanistan.,,Novella
The Beggar,Naguib Mahfouz,1965,Egypt,Northern Africa,Africa,,Arabic,128,A book from Egypt.,,Novella
Respected Sir,Naguib Mahfouz,1975,Egypt,Northern Africa,Africa,,Arabic,144,A book from Egypt.,,Novella
El Tungsteno,Cesar Vallejo,1931,Peru,South America,South America,,Spanish,128,A book from Peru.,,Novella
The Literary Conference,Cesar Aira,1997,Argentina,South America,South America,1,Spanish,90,A book from Argentina.,,Novella
Ghosts,Cesar Aira,1990,Argentina,South America,South America,,Spanish,139,A book from Argentina.,,Novella
The Fall,Albert Camus,1956,France,Western Europe,Europe,,French,147,A book from France.,,Novella
Notes from Underground,Fyodor Dostoevsky,1864,Russia,Eastern Europe,Europe,,Russian,136,A book from Russia.,,Novella
Ward No. 6,Anton Chekhov,1892,Russia,Eastern Europe,Europe,,Russian,80,A book from Russia.,,Novella
The Steppe,Anton Chekhov,1888,Russia,Eastern Europe,Europe,,Russian,112,A book from Russia.,,Novella
Benito Cereno,Herman Melville,1855,USA,Northern America,North America,,English,96,A book from USA.,,Novella
The Aspern Papers,Henry James,1888,USA,Northern America,North America,,English,96,A book from USA.,,Novella
Daisy Miller,Henry James,1878,USA,Northern America,North America,,English,96,A book from USA.,,Novella
Ethan Frome,Edith Wharton,1911,USA,Northern America,North America,,English,128,A book from USA.,,Novella
The Shadow-Line,Joseph Conrad,1917,UK,Northern Europe,Europe,,English,144,A book from England.,,Novella
The Marquise of O—,Heinrich von Kleist,1808,Germany,Western Europe,Europe,,German,80,A book from Germany.,,Novella
The Hunting Gun,Yasushi Inoue,1949,Japan,Eastern Asia,Asia,,Japanese,112,A book from Japan.,,Novella
"A Cat, a Man, and Two Women",Junichiro Tanizaki,1936,Japan,Eastern Asia,Asia,1,Japanese,144,A book from Japan.,,Novella
The Final Mist,Maria Luisa Bombal,1934,Chile,South America,South America,,Spanish,96,A book from Chile.,,Novella
Bonsai,Alejandro Zambra,2006,Chile,South America,South America,1,Spanish,83,A book from Chile.,,Novella
The Private Lives of Trees,Alejandro Zambra,2007,Chile,South America,South America,,Spanish,112,A book from Chile.,,Novella
Balzac and the Little Chinese Seamstress,Dai Sijie,2000,China,Eastern Asia,Asia,,Mandarin,184,A book from China.,,Novel
The Sound of Waves,Yukio Mishima,1954,Japan,Eastern Asia,Asia,,Japanese,183,A book from Japan.,,Novel
Schoolgirl,Osamu Dazai,1939,Japan,Eastern Asia,Asia,,Japanese,112,A book from Japan.,,Novella
Kitchen,Banana Yoshimoto,1988,Japan,Eastern Asia,Asia,,Japanese,152,A book from Japan.,,Novel
Returning to Haifa,Ghassan Kanafani,1969,Palestine,Western Asia,Asia,,Arabic,96,A book from Palestine.,,Novella
The Committee,Sonallah Ibrahim,1981,Egypt,Northern Africa,Africa,,Arabic,160,A book from Egypt.,,Novel
The Body Where I Was Born,Guadalupe Nettel,2011,Mexico,Central America,North America,,Spanish,192,A book from Mexico.,,Novel
The Meursault Investigation,Kamel Daoud,2013,Algeria,Northern Africa,Africa,,French,153,A book from Algeria.,,Novel
The Dream of My Return,Horacio Castellanos Moya,2013,El Salvador,Central America,Central America,,Spanish,160,A book from El Salvador.,,Novel
Xala,Ousmane Sembene,1973,Senegal,Western Africa,Africa,,French,112,A book from Senegal.,,Novella
The Money-Order,Ousmane Sembene,1966,Senegal,Western Africa,Africa,,French,112,A book from Senegal.,,Novella
A General Theory of Oblivion,Jose Eduardo Agualusa,2012,Angola,Middle Africa,Africa,,Portuguese,246,A book from Angola.,,Novel
Hadriana in All My Dreams,Rene Depestre,1988,Haiti,Caribbean,North America,,French,213,A book from Haiti.,,Novel
The Last Will and Testament of Senhor da Silva Araújo,Germano Almeida,1989,Cape Verde,,,,Portuguese,152,A book from Cape Verde.,,Novel
Concrete,Thomas Bernhard,1982,Austria,Western Europe,Europe,,German,160,A book from Austria.,,Novel
The Goalie’s Anxiety at the Penalty Kick,Peter Handke,1970,Austria,Western Europe,Europe,,German,133,A book from Austria.,,Novella
The Pigeon,Patrick Suskind,1987,Germany,Western Europe,Europe,,German,96,A book from Germany.,,Novella
Death and Spring,Merce Rodoreda,1986,Spain,Southern Europe,Europe,,Catalan,151,A book from Spain.,,Novel
By the Open Sea,August Strindberg,1890,Sweden,Northern Europe,Europe,,Swedish,248,A book from Sweden.,,Novel
The Vicar of Wakefield,Oliver Goldsmith,1766,Ireland,Northern Europe,Europe,,English,176,A book from Ireland.,,Novel
The Eternal Husband,Fyodor Dostoevsky,1870,Russia,Eastern Europe,Europe,,Russian,160,A book from Russia.,,Novel
The Kreutzer Sonata,Leo Tolstoy,1889,Russia,Eastern Europe,Europe,1,Russian,128,A book from Russia.,,Novella
First Love,Ivan Turgenev,1860,Russia,Eastern Europe,Europe,1,Russian,112,A book from Russia.,,Novella
The Torrents of Spring,Ivan Turgenev,1872,Russia,Eastern Europe,Europe,,Russian,128,A book from Russia.,,Novella
Tonio Kröger,Thomas Mann,1903,Germany,Western Europe,Europe,,German,96,A book from Germany.,,Novella
Mario and the Magician,Thomas Mann,1929,Germany,Western Europe,Europe,,German,96,A book from Germany.,,Novella
Young Törless,Robert Musil,1906,Austria,Western Europe,Europe,,German,208,A book from Austria.,,Novel
The Post Office Girl,Stefan Zweig,1982,Austria,Western Europe,Europe,,German,257,A book from Austria.,,Novel
Confusion,Stefan Zweig,1927,Austria,Western Europe,Europe,,German,96,A book from Austria.,,Novella
Amok,Stefan Zweig,1922,Austria,Western Europe,Europe,,German,80,A book from Austria.,,Novella
A River Runs Through It,Norman Maclean,1976,USA,Northern America,North America,,English,104,A book from USA.,,Novella
Seize the Day,Saul Bellow,1956,USA,Northern America,North America,1,English,118,A book from USA.,,Novella
The Ballad of the Sad Café,Carson McCullers,1951,USA,Northern America,North America,,English,80,A book from USA.,,Novella
Miss Lonelyhearts,Nathanael West,1933,USA,Northern America,North America,,English,128,A book from USA.,,Novella
"Good Morning, Midnight",Jean Rhys,1939,Dominica,Caribbean,North America,,English,160,A book from Dominica.,,Novel
"Goodbye, Columbus",Philip Roth,1959,USA,Northern America,North America,,English,136,A book from USA.,,Novella
The Driver’s Seat,Muriel Spark,1970,UK,Northern Europe,Europe,,English,144,A book from Scotland.,,Novella
The Girls of Slender Means,Muriel Spark,1963,UK,Northern Europe,Europe,,English,142,A book from Scotland.,,Novella
The Queue,Basma Abdel Aziz,2013,Egypt,Northern Africa,Africa,,Arabic,224,A book from Egypt.,,Novel
The Shrouded Woman,Maria Luisa Bombal,1938,Chile,South America,South America,,Spanish,176,A book from Chile.,,Novel
Son of a Thief,Manuel Rojas,1951,Chile,South America,South America,,Spanish,320,A book from Chile.,,Novel
Ways of Going Home,Alejandro Zambra,2011,Chile,South America,South America,1,Spanish,160,A book from Chile.,,Novel
The Remainder,Alia Trabucco Zeran,2015,Chile,South America,South America,,Spanish,256,A book from Chile.,,Novel
The Serious Game,Hjalmar Soderberg,1912,Sweden,Northern Europe,Europe,,Swedish,288,A book from Sweden.,,Novel
The People of Hemsö,August Strindberg,1887,Sweden,Northern Europe,Europe,,Swedish,176,A book from Sweden.,,Novel
Kallocain,Karin Boye,1940,Sweden,Northern Europe,Europe,,Swedish,224,A book from Sweden.,,Novel
City of My Dreams,Per Anders Fogelstrom,1960,Sweden,Northern Europe,Europe,,Swedish,288,A book from Sweden.,,Novel
